ds,y
2009-12-06,442217.45
2009-12-13,427873.42
2009-12-20,447895.09
2009-12-27,319009.2
2010-01-03,273199.77
2010-01-10,270257.82
2010-01-17,311650.03
2010-01-24,286492.66
2010-01-31,249876.79
2010-02-07,268757.45
2010-02-14,236574.45
2010-02-21,228992.35
2010-02-28,238799.3
2010-03-07,176806.78
2010-03-14,173316.48
2010-03-21,194234.46
2010-03-28,175013.42
2010-04-04,200559.22
2010-04-11,162828.84
2010-04-18,143630.42
2010-04-25,209686.18
2010-05-02,162311.93
2010-05-09,165454.78
2010-05-16,124938.37
2010-05-23,144785.44
2010-05-30,160105.48
2010-06-06,128630.53
2010-06-13,168025.98
2010-06-20,146003.81
2010-06-27,157257.92
2010-07-04,154151.85
2010-07-11,221212.91
2010-07-18,181285.1
2010-07-25,162824.86
2010-08-01,218314.83
2010-08-08,176449.95
2010-08-15,222035.84
2010-08-22,178167.18
2010-08-29,204671.27
2010-09-05,253752.18
2010-09-12,278346.76
2010-09-19,275184.03
2010-09-26,278844.73
2010-10-03,284729.56
2010-10-10,265368.69
2010-10-17,293838.34
2010-10-24,309132.31
2010-10-31,355094.32
2010-11-07,344383.39
2010-11-14,297869.72
2010-11-21,475158.3
2010-11-28,461443.97
2010-12-05,487029.68
2010-12-12,520972.17
2010-12-19,532024.27
2010-12-26,432511.03
2011-01-02,332997.79
2011-01-09,343482.13
2011-01-16,355717.25
2011-01-23,367111.93
2011-01-30,325184.97
2011-02-06,326218.5
2011-02-13,296263.89
2011-02-20,286567.25
2011-02-27,328952.19
2011-03-06,334462.34
2011-03-13,290561.84
2011-03-20,309284.03
2011-03-27,285237.11
2011-04-03,252372.17
2011-04-10,270274.67
2011-04-17,292991.85
2011-04-24,247625.73
2011-05-01,282405.1
2011-05-08,173446.69
2011-05-15,256106.59
2011-05-22,235390.97
2011-05-29,224487.11
2011-06-05,234134.39
2011-06-12,183182.25
2011-06-19,229569.57
2011-06-26,247326.84
2011-07-03,279804.14
2011-07-10,235434.01
2011-07-17,234729.15
2011-07-24,249890.82
2011-07-31,293667.73
2011-08-07,288103.81
2011-08-14,276386.63
2011-08-21,312730.7
2011-08-28,312989.02
2011-09-04,345702.18
2011-09-11,314982.05
2011-09-18,335373.14
2011-09-25,344638.18
2011-10-02,328437.2
2011-10-09,382587.64
2011-10-16,391319.44
2011-10-23,393859.68
2011-10-30,396027.51
2011-11-06,373792.31
2011-11-13,404984.02
2011-11-20,532224.16
2011-11-27,524939.26
2011-12-04,574040.33
2011-12-11,590098.25
